Period,Statistic,Key,Value
2019-11,Operating Systems,Chrome OS,1304
2019-11,Operating Systems,iOS,26139
2019-11,Operating Systems,Linux,53462
2019-11,Operating Systems,Macintosh,51317
2019-11,Operating Systems,(not set),772
2019-11,Operating Systems,OpenBSD,35
2019-11,Operating Systems,Samsung,1
2019-11,Operating Systems,Windows,285325
2019-11,Operating Systems,Windows Phone,17
2019-11,Operating Systems,Xbox,6
2019-12,Operating Systems,Android,22751
2019-12,Operating Systems,BlackBerry,16
2019-12,Operating Systems,Chrome OS,968
2019-12,Operating Systems,FreeBSD,9
2019-12,Operating Systems,iOS,24378
2019-12,Operating Systems,Linux,14501
2019-12,Operating Systems,Macintosh,38199
2019-12,Operating Systems,(not set),788
2019-12,Operating Systems,Windows,225014
2019-12,Operating Systems,Windows Phone,6
2020-01,Operating Systems,Android,22316
2020-01,Operating Systems,Chrome OS,590
2020-01,Operating Systems,iOS,22335
2020-01,Operating Systems,Linux,11420
2020-01,Operating Systems,Macintosh,39139
2020-01,Operating Systems,(not set),670
2020-01,Operating Systems,OpenBSD,2
2020-01,Operating Systems,Tizen,3
2020-01,Operating Systems,Windows,226601
2020-01,Operating Systems,Windows Phone,2
2020-01,Operating Systems,Xbox,1
2020-02,Operating Systems,Android,19761
2020-02,Operating Systems,BlackBerry,2
2020-02,Operating Systems,Chrome OS,634
2020-02,Operating Systems,iOS,18585
2020-02,Operating Systems,Linux,7540
2020-02,Operating Systems,Macintosh,44361
2020-02,Operating Systems,(not set),1185
2020-02,Operating Systems,Playstation 4,2
2020-02,Operating Systems,Samsung,2
2020-02,Operating Systems,Tizen,2
2020-02,Operating Systems,Windows,250507
2020-02,Operating Systems,Windows Phone,16
2020-03,Operating Systems,Android,18221
2020-03,Operating Systems,BlackBerry,3
2020-03,Operating Systems,Chrome OS,829
2020-03,Operating Systems,FreeBSD,2
2020-03,Operating Systems,iOS,20805
2020-03,Operating Systems,Linux,7569
2020-03,Operating Systems,Macintosh,83943
2020-03,Operating Systems,(not set),493
2020-03,Operating Systems,Playstation 4,3
2020-03,Operating Systems,Tizen,13
2020-03,Operating Systems,Windows,283295
2020-03,Operating Systems,Windows Phone,7
2020-04,Operating Systems,Android,23763
2020-04,Operating Systems,Chrome OS,630
2020-04,Operating Systems,iOS,27602
2020-04,Operating Systems,Linux,7575
2020-04,Operating Systems,Macintosh,102185
2020-04,Operating Systems,(not set),369
2020-04,Operating Systems,Playstation 3,12
2020-04,Operating Systems,Windows,299085
2020-04,Operating Systems,Windows Phone,2
2020-04,Operating Systems,Xbox,2
